Doenças Inglês,Doenças português,Sintomas Inglês,Sintomas português
Fungal infection,Infecção fúngica ,itching,Coceira
Allergy,Alergia,skin_rash,Erupção cutânea 
GERD,Refluxo gastroesofágico ,nodal_skin_eruptions,Lesões na pele
Chronic cholestasis,Coledocolitíase,continuous_sneezing,Espirros contínuos
Drug Reaction,Reação a drogas,shivering,Tremendo
Peptic ulcer diseae,Úlcera péptica,chills,Calafrios
AIDS,AIDS,joint_pain,Dor nas articulações
Diabetes,Diabetes,stomach_pain,Dor de barriga
Gastroenteritis,Gastroenterites ,acidity,Acidez
Bronchial Asthma,Asma,ulcers_on_tongue,Úlceras na língua
Hypertension,Hipertensão ,muscle_wasting,Perda de massa muscular
Migraine,Enxaqueca,vomiting,Vomitando
Cervical spondylosis,Espondilose cervical,burning_micturition,Ardência ao urinar
Paralysis (brain hemorrhage),Paralisia(hemorragia cerebral),spotting_urination,Sangue na Urina
Jaundice,Icterícia ,fatigue,Fadiga
Malaria,Malaria,weight_gain,Ganho de peso
Chicken pox,Catapora,anxiety,Ansiedade
Dengue,Dengue,cold_hands_and_feets,Mãos e pés frios
Typhoid,Febre tifoide,mood_swings,Mudanças de humor
hepatitis A,Hepatite A,weight_loss,Perda de peso
Hepatitis B,Hepatite B,restlessness,Inquietação
Hepatitis C,Hepatite C,lethargy,Letargia
Hepatitis D,Hepatite D,patches_in_throat,Manchas na garganta
Hepatitis E,Hepatite E,irregular_sugar_level,Nível de açúcar irregular
Alcoholic hepatitis,Hepatite alcoólica,cough,Tosse
Tuberculosis,Tuberculose ,high_fever,Febre alta
Common Cold,Resfriado ,sunken_eyes,Olhos afundados
Pneumonia,Pneumonia,breathlessness,Falta de ar
Dimorphic hemmorhoids(piles),Hemorroida,sweating,Suando
Heart attack,Ataque cardíaco ,dehydration,Desidratação
Varicose veins,Varizes ,indigestion,Indigestão
Hypothyroidism,Hipotireoidismo ,headache,Dor de cabeça 
Hyperthyroidism,Hipertireoidismo ,yellowish_skin,Pele amarelada
Hypoglycemia,Hipoglicemia ,dark_urine,Urina escura
Osteoarthristis,Artrose,nausea,Náusea
Arthritis,Artrite,loss_of_appetite,Perda de apetite
(vertigo) Paroymsal  Positional Vertigo,Vertigem posicional paroxística benigna,pain_behind_the_eyes,Dor atrás dos olhos
Acne,Acne,back_pain,Dor nas costas
Urinary tract infection,Infecção do trato urinário ,constipation,Constipação
Psoriasis,Psoríase,abdominal_pain,Dor abdominal
Impetigo,Impetigo,diarrhoea,Diarreia
,,mild_fever,Febre baixa
,,yellow_urine,Urina amarela
,,yellowing_of_eyes,Olhos amarelados
,,acute_liver_failure,Insuficiência hepática aguda
,,fluid_overload,Sobrecarga de fluido
,,swelling_of_stomach,Inchaço do estômago
,,swelled_lymph_nodes,Inchaço nos vasos linfáticos
,,malaise,Mal-estar
,,blurred_and_distorted_vision,Visão turva e distorcida
,,phlegm,Catarro
,,throat_irritation,Irritação na garganta
,,redness_of_eyes,Vermelhidão dos olhos
,,sinus_pressure,Pressão no nariz
,,runny_nose,Nariz escorrendo
,,congestion,Congestionamento
,,chest_pain,Dor no peito
,,weakness_in_limbs,Fraqueza nos membros
,,fast_heart_rate,Frequência cardíaca rápida
,,pain_during_bowel_movements,Dor durante as evacuações
,,pain_in_anal_region,Dor na região anal
,,bloody_stool,Fezes sangrentas
,,irritation_in_anus,Irritação no ânus
,,neck_pain,Dor no pescoço
,,dizziness,Tontura
,,cramps,Cólicas
,,bruising,Contusões
,,obesity,Obesidade
,,swollen_legs,Pernas inchadas
,,swollen_blood_vessels,Vasos sanguíneos inchados
,,puffy_face_and_eyes,Rosto e olhos inchados
,,enlarged_thyroid,Tireoide aumentada
,,brittle_nails,Unhas quebradiças
,,swollen_extremeties,Extremidades inchadas
,,excessive_hunger,Fome excessiva
,,extra_marital_contacts,Contatos extraconjugais
,,drying_and_tingling_lips,Lábios secos e formigando
,,slurred_speech,Fala arrastada
,,knee_pain,Dor no joelho
,,hip_joint_pain,Dor nas articulações do quadril
,,muscle_weakness,Fraqueza muscular
,,stiff_neck,Torcicolo
,,swelling_joints,Articulações inchadas
,,movement_stiffness,Rigidez de movimento
,,spinning_movements,
,,loss_of_balance,Perda de equilíbrio
,,unsteadiness,Instabilidade
,,weakness_of_one_body_side,Fraqueza de um lado do corpo
,,loss_of_smell,Perda do cheiro
,,bladder_discomfort,Desconforto na bexiga
,,foul_smell_ofurine,Mau cheiro de urina
,,continuous_feel_of_urine,Sensação contínua de urinar
,,passage_of_gases,Gases contínuos
,,internal_itching,Coceira interna
,,toxic_look_(typhos),
,,depression,Depressão
,,irritability,Irritabilidade
,,muscle_pain,Dor nos musculos
,,altered_sensorium,Sensorial alterado
,,red_spots_over_body,Manchas vermelhas no corpo
,,belly_pain,Dor de barriga
,,abnormal_menstruation,Menstruação anormal
,,dischromic_patches,Alteração na coloração da pele
,,watering_from_eyes,Lacrimejando
,,increased_appetite,Aumento de apetite
,,polyuria,Urina excessivamente 
,,family_history,Historico familiar
,,mucoid_sputum,Secreção esbranquiçado
,,rusty_sputum,Secreção marrom
,,lack_of_concentration,Falta de atenção
,,visual_disturbances,Distúrbios visuais
,,receiving_blood_transfusion,Recebeu transfusão de sangue
,,receiving_unsterile_injections,Recebeu injeções não estéreis
,,coma,Coma
,,stomach_bleeding,Sangramento estomacal
,,distention_of_abdomen,Distensão do abdome
,,history_of_alcohol_consumption,Historico de consumo de álcool
,,blood_in_sputum,Sangue na secreção
,,prominent_veins_on_calf,Veias elevadas na panturrilha
,,palpitations,Palpitações
,,painful_walking,Dor em andar
,,pus_filled_pimples,Espinhas cheias de pus
,,blackheads,Cravos
,,scurring,
,,skin_peeling,Descamação da pele
,,silver_like_dusting,Coloração azulada da pele
,,small_dents_in_nails,Pequenos amassados ​​nas unhas
,,inflammatory_nails,Unhas inflamadas
,,blister,Bolha de sangue ou transparente
,,red_sore_around_nose,Ferida vermelha ao redor do nariz
,,yellow_crust_ooze,Secreção de crosta amarela